ticker,buy
UNVR,4000
INDF,6100
SIDO,770
ASII,5000
KLBF,1350
BSDE,950
ADRO,1300
ANTM,2000
BBCA,6200
BBNI,5000
BBRI,3500
BBTN,1300
BMRI,5700
BRPT,800
CPIN,5700
EXCL,2300
GGRM,25000
HMSP,800
ICBP,8200
INCO,3500
INKP,6000
MDKA,2750
MIKA,2220
PGAS,1050
PTBA,2100
SMGR,8500
TBIG,2500
TINS,1000
TKIM,6500
TLKM,3000
TOWR,2000









