<date>,<ticker>,<open>,<high>,<low>,<close>,<volume>
10/01/2020,AALI,10200.00,10675.00,10150.00,10675.00,3496700
10/01/2020,ABBA,50.00,50.00,50.00,50.00,4800
10/01/2020,ABDA,6575.00,6575.00,6575.00,6575.00,100
10/01/2020,ABMM,880.00,880.00,860.00,860.00,2200
10/01/2020,ACES,1595.00,1610.00,1585.00,1610.00,6943400
10/01/2020,ACST,185.00,195.00,184.00,193.00,65647800
10/01/2020,ADES,1125.00,1135.00,1125.00,1130.00,7100
10/01/2020,ADHI,500.00,515.00,500.00,510.00,3711800
10/01/2020,ADMF,7225.00,7300.00,7125.00,7225.00,31100
10/01/2020,ADMG,120.00,123.00,120.00,121.00,1156000
10/01/2020,ADRO,1150.00,1180.00,1135.00,1180.00,31098400
10/01/2020,AGAR,500.00,500.00,500.00,500.00,0
10/01/2020,AGII,505.00,520.00,505.00,510.00,389100
10/01/2020,AGRO,314.00,322.00,310.00,322.00,58264500
10/01/2020,AGRS,180.00,180.00,180.00,180.00,40500
10/01/2020,AHAP,51.00,54.00,51.00,54.00,241300
10/01/2020,AIMS,139.00,149.00,139.00,139.00,1500
10/01/2020,AISA,216.00,222.00,210.00,212.00,40227700
10/01/2020,AKKU,50.00,50.00,50.00,50.00,100
10/01/2020,AKPI,280.00,280.00,280.00,280.00,0
10/01/2020,AKRA,2570.00,2620.00,2550.00,2610.00,11878200
10/01/2020,AKSI,292.00,292.00,290.00,292.00,8400
10/01/2020,ALDO,394.00,394.00,394.00,394.00,0
10/01/2020,ALKA,220.00,220.00,220.00,220.00,300
10/01/2020,ALMI,186.00,187.00,186.00,187.00,800
10/01/2020,ALTO,282.00,300.00,280.00,300.00,25200
10/01/2020,AMAG,190.00,195.00,190.00,194.00,47800
10/01/2020,AMAN,280.00,282.00,280.00,282.00,280600
10/01/2020,AMAR,300.00,310.00,286.00,288.00,74200
10/01/2020,AMFG,2360.00,2360.00,2330.00,2330.00,300
10/01/2020,AMIN,256.00,278.00,256.00,278.00,2300
10/01/2020,AMOR,2090.00,2200.00,2090.00,2100.00,1274100
10/01/2020,AMRT,670.00,685.00,660.00,670.00,594600
10/01/2020,ANDI,50.00,50.00,50.00,50.00,321900
10/01/2020,ANJT,492.00,492.00,492.00,492.00,0
10/01/2020,ANTM,710.00,740.00,710.00,735.00,45502700
10/01/2020,APEX,128.00,138.00,127.00,138.00,3900
10/01/2020,APIC,845.00,855.00,835.00,850.00,32083000
10/01/2020,APII,135.00,146.00,135.00,146.00,3500
10/01/2020,APLI,107.00,107.00,107.00,107.00,0
10/01/2020,APLN,95.00,96.00,94.00,95.00,46731800
10/01/2020,ARGO,1650.00,2000.00,1535.00,2000.00,9100
10/01/2020,ARII,424.00,430.00,424.00,430.00,21400
10/01/2020,ARKA,96.00,98.00,90.00,93.00,8864400
10/01/2020,ARMY,50.00,50.00,50.00,50.00,0
10/01/2020,ARNA,446.00,448.00,442.00,446.00,9077500
10/01/2020,ARTA,332.00,332.00,316.00,316.00,1500
10/01/2020,ARTI,50.00,50.00,50.00,50.00,0
10/01/2020,ARTO,2850.00,2870.00,2840.00,2850.00,142600
10/01/2020,ASBI,368.00,368.00,350.00,350.00,55200
10/01/2020,ASDM,900.00,900.00,900.00,900.00,0
10/01/2020,ASGR,725.00,735.00,725.00,735.00,137600
10/01/2020,ASII,4490.00,4640.00,4490.00,4610.00,32822900
10/01/2020,ASJT,113.00,113.00,107.00,113.00,1100
10/01/2020,ASMI,1035.00,1040.00,1035.00,1040.00,10600
10/01/2020,ASPI,112.00,118.00,111.00,112.00,351100
10/01/2020,ASPI-W,13.00,14.00,13.00,13.00,713600
10/01/2020,ASRI,113.00,115.00,111.00,112.00,71065800
10/01/2020,ASRM,1725.00,1725.00,1725.00,1725.00,0
10/01/2020,ASSA,470.00,480.00,468.00,478.00,6654000
10/01/2020,ATIC,545.00,565.00,545.00,565.00,3100
10/01/2020,AUTO,825.00,840.00,825.00,830.00,151700
10/01/2020,AYLS,50.00,50.00,50.00,50.00,157800
10/01/2020,AYLS-W,4.00,4.00,3.00,3.00,284100
10/01/2020,BABP,50.00,50.00,50.00,50.00,2900
10/01/2020,BABP-W3,35.00,35.00,35.00,35.00,5600
10/01/2020,BABP-W4,7.00,8.00,6.00,8.00,197200
10/01/2020,BACA,398.00,398.00,398.00,398.00,0
10/01/2020,BACA-W2,100.00,100.00,100.00,100.00,0
10/01/2020,BAJA,58.00,69.00,58.00,61.00,7815500
10/01/2020,BALI,960.00,960.00,930.00,930.00,31300
10/01/2020,BAPA,50.00,50.00,50.00,50.00,0
10/01/2020,BAPI,50.00,50.00,50.00,50.00,2400
10/01/2020,BAPI-W,2.00,3.00,2.00,2.00,1328800
10/01/2020,BATA,630.00,630.00,630.00,630.00,67500
10/01/2020,BAYU,1140.00,1200.00,1140.00,1200.00,900
10/01/2020,BBCA,27425.00,27850.00,27400.00,27850.00,11378600
10/01/2020,BBHI,137.00,139.00,136.00,139.00,29200
10/01/2020,BBKP,212.00,222.00,212.00,220.00,71467600
10/01/2020,BBLD,330.00,330.00,330.00,330.00,100
10/01/2020,BBMD,1600.00,1600.00,1590.00,1590.00,300
10/01/2020,BBNI,4490.00,4580.00,4470.00,4570.00,25883000
10/01/2020,BBRI,3090.00,3170.00,3060.00,3160.00,130031000
10/01/2020,BBRM,50.00,50.00,50.00,50.00,0
10/01/2020,BBSI,695.00,700.00,680.00,680.00,275100
10/01/2020,BBSS,125.00,125.00,123.00,124.00,440500
10/01/2020,BBSS-W,7.00,7.00,6.00,6.00,7569000
10/01/2020,BBTN,1220.00,1240.00,1205.00,1235.00,49717400
10/01/2020,BBYB,272.00,272.00,268.00,268.00,561600
10/01/2020,BCAP,122.00,122.00,118.00,119.00,14108100
10/01/2020,BCIC,700.00,700.00,700.00,700.00,0
10/01/2020,BCIP,50.00,51.00,50.00,50.00,315900
10/01/2020,BDMN,2200.00,2270.00,2170.00,2270.00,1241200
10/01/2020,BEEF,143.00,146.00,140.00,140.00,2147600
10/01/2020,BEEF-W,10.00,10.00,9.00,10.00,50400
10/01/2020,BEKS,50.00,50.00,50.00,50.00,115800
10/01/2020,BELL,145.00,155.00,144.00,154.00,10282200
10/01/2020,BESS,208.00,222.00,208.00,218.00,2393200
10/01/2020,BESS-W,55.00,70.00,53.00,70.00,67900
10/01/2020,BEST,170.00,174.00,167.00,172.00,127999500
10/01/2020,BFIN,412.00,412.00,394.00,396.00,8361900
10/01/2020,BGTG,50.00,50.00,50.00,50.00,2600
10/01/2020,BHAT,490.00,496.00,486.00,496.00,171080800
10/01/2020,BHIT,50.00,50.00,50.00,50.00,19800
