<date>,<ticker>,<open>,<high>,<low>,<close>,<volume>
7/7/2021,IHSG,6062.77,6066.99,6022.31,6044.04,293257515
7/7/2021,AALI,7875,7875,7700,7725,1326100
7/7/2021,ABBA,242,244,236,238,14058700
7/7/2021,ABDA,7050,7050,7050,7050,0
7/7/2021,ABMM,790,820,780,790,220100
7/7/2021,ACES,1500,1600,1500,1565,42670900
7/7/2021,ACST,214,230,212,222,21399400
7/7/2021,ADES,2440,2490,2350,2390,166000
7/7/2021,ADHI,715,730,700,715,24442000
7/7/2021,ADMF,8450,8475,8325,8400,306400
7/7/2021,ADMG,188,212,188,199,18635500
7/7/2021,ADRO,1275,1275,1230,1250,72700000
7/7/2021,AGAR,402,402,402,402,7000
7/7/2021,AGII,1550,1610,1530,1545,54275500
7/7/2021,AGRO,1895,2170,1890,2120,219072192
7/7/2021,AGRS,168,224,168,224,458199008
7/7/2021,AHAP,62,66,61,63,6337400
7/7/2021,AIMS,350,388,350,366,176800
7/7/2021,AISA,197,212,193,202,22242900
7/7/2021,AKKU,50,54,50,50,16101200
7/7/2021,AKPI,580,620,565,605,200200
7/7/2021,AKRA,3190,3210,3130,3130,4531700
7/7/2021,AKSI,438,438,408,416,25200
7/7/2021,ALDO,620,635,595,620,926300
7/7/2021,ALKA,244,250,238,238,18100
7/7/2021,ALMI,240,270,232,240,9000
7/7/2021,ALTO,346,350,346,350,2000
7/7/2021,AMAG,332,332,332,332,179100
7/7/2021,AMAN,380,380,378,378,2065300
7/7/2021,AMAR,240,264,238,256,9030900
7/7/2021,AMFG,3510,3600,3510,3600,7100
7/7/2021,AMIN,212,214,200,210,232500
7/7/2021,AMOR,3320,3590,3320,3420,2683000
7/7/2021,AMRT,1370,1400,1320,1340,115700200
7/7/2021,ANDI,50,50,50,50,97300
7/7/2021,ANJT,610,610,600,600,39300
7/7/2021,ANTM,2450,2470,2380,2460,146473200
7/7/2021,APEX,620,625,620,625,34300
7/7/2021,APIC,845,845,820,835,8524500
7/7/2021,APII,181,189,181,184,53000
7/7/2021,APLI,204,204,204,204,200
7/7/2021,APLN,134,136,133,134,5544100
7/7/2021,ARGO,1720,1750,1650,1650,5900
7/7/2021,ARII,298,316,278,278,1050500
7/7/2021,ARKA,50,50,50,50,1100
7/7/2021,ARMY,50,50,50,50,0
7/7/2021,ARNA,745,745,730,740,471700
7/7/2021,ARTA,440,462,420,458,23100
7/7/2021,ARTI,50,50,50,50,5200
7/7/2021,ARTO,14225,14400,13850,13925,10979800
7/7/2021,ASBI,284,286,282,286,24800
7/7/2021,ASDM,950,950,920,920,9400
7/7/2021,ASGR,730,745,725,725,148900
7/7/2021,ASII,4900,4990,4860,4900,35907800
7/7/2021,ASJT,230,230,222,228,11500
7/7/2021,ASMI,635,655,625,625,58400
7/7/2021,ASPI,50,50,50,50,17600
7/7/2021,ASRI,162,165,160,161,11727600
7/7/2021,ASRM,1650,1650,1650,1650,2200
7/7/2021,ASSA,2450,2580,2430,2460,24800000
7/7/2021,ATAP,106,108,106,108,69000
7/7/2021,ATIC,1465,1680,1380,1500,3353100
7/7/2021,AUTO,1085,1100,1080,1080,778200
7/7/2021,AYLS,65,77,64,70,16490200
7/7/2021,BABP,286,314,286,300,661065920
7/7/2021,BABP-W3,216,220,185,192,148200
7/7/2021,BABP-W4,236,276,236,258,1431700
7/7/2021,BACA,412,444,410,436,247218208
7/7/2021,BACA-W2,378,380,378,380,3600
7/7/2021,BAJA,328,338,322,326,984700
7/7/2021,BALI,695,695,645,645,5496100
7/7/2021,BANK,3700,3720,3460,3540,95006600
7/7/2021,BAPA,50,50,50,50,33500
7/7/2021,BAPI,50,50,50,50,400
7/7/2021,BAPI-W,5,6,5,5,8599000
7/7/2021,BATA,625,660,625,660,2000
7/7/2021,BAYU,1095,1095,1045,1085,1700
7/7/2021,BBCA,30900,30900,30150,30325,7119000
7/7/2021,BBHI,5000,5100,4650,4660,14148100
7/7/2021,BBKP,406,420,406,410,79222800
7/7/2021,BBLD,422,460,422,460,10400
7/7/2021,BBMD,1500,1500,1500,1500,4400
7/7/2021,BBNI,4710,4760,4680,4730,20007900
7/7/2021,BBRI,3920,3940,3810,3820,148723808
7/7/2021,BBRM,50,50,50,50,300
7/7/2021,BBSI,3140,3220,3080,3220,119500
7/7/2021,BBSS,50,67,50,62,121750896
7/7/2021,BBTN,1355,1370,1340,1345,7150000
7/7/2021,BBYB,426,525,422,478,319789792
7/7/2021,BCAP,125,128,121,123,158946400
7/7/2021,BCIC,700,700,700,700,0
7/7/2021,BCIP,58,59,57,59,359500
7/7/2021,BDMN,2180,2190,2140,2150,1923300
7/7/2021,BEEF,87,91,85,85,9202600
7/7/2021,BEKS,90,93,88,90,230235104
7/7/2021,BELL,135,138,125,125,705200
7/7/2021,BESS,700,730,655,715,428800
7/7/2021,BEST,135,135,133,134,5633300
7/7/2021,BFIN,900,905,855,880,151471008
7/7/2021,BGTG,119,134,119,128,162278096
7/7/2021,BHAT,720,735,715,730,130035200
7/7/2021,BHIT,97,104,93,94,2017565312
7/7/2021,BIKA,300,300,300,300,110200
7/7/2021,BIMA,135,146,114,114,22008100
7/7/2021,BINA,5750,5775,5550,5550,1681700
7/7/2021,BIPI,50,50,50,50,120000
7/7/2021,BIPI-W,9,11,8,9,5434300
7/7/2021,BIPP,55,55,54,54,1119200
7/7/2021,BIRD,1130,1140,1125,1130,472500
7/7/2021,BISI,1115,1115,1105,1115,129200
7/7/2021,BJBR,1225,1230,1215,1220,1392800
7/7/2021,BJTM,705,705,695,695,6416200
7/7/2021,BKDP,50,51,50,50,38400
7/7/2021,BKSL,63,63,61,61,107436896
7/7/2021,BKSW,178,220,177,187,207216192
7/7/2021,BLTA,50,50,50,50,8000
7/7/2021,BLTZ,2700,2700,2700,2700,0
7/7/2021,BLUE,690,690,670,670,31900
7/7/2021,BM05,0,0,0,0,0
7/7/2021,BM10,0,0,0,0,0
7/7/2021,BMAS,1225,1530,1225,1310,1891300
7/7/2021,BMRI,5775,5825,5675,5750,48345500
7/7/2021,BMSR,189,197,180,192,913500
7/7/2021,BMTR,272,276,270,272,25701200
7/7/2021,BNBA,825,900,820,850,13374200
7/7/2021,BNBR,50,50,50,50,57700
7/7/2021,BNGA,890,895,885,895,988500
7/7/2021,BNII,342,352,340,352,8270100
7/7/2021,BNLI,2900,3440,2770,3170,19738400
7/7/2021,BOGA,1360,1365,1310,1325,91447800
7/7/2021,BOLA,320,322,312,320,270500
7/7/2021,BOLT,750,755,705,755,1100
7/7/2021,BOSS,79,94,75,94,592372288
7/7/2021,BPFI,1055,1055,1055,1055,0
7/7/2021,BPII,7300,7300,7300,7300,0
7/7/2021,BPTR,113,114,111,113,460900
7/7/2021,BRAM,5625,5625,5625,5625,100
7/7/2021,BRIS,2190,2350,2180,2330,186353792
7/7/2021,BRMS,110,112,105,107,556710208
7/7/2021,BRNA,1430,1430,1430,1430,0
7/7/2021,BRPT,870,890,860,890,15778400
7/7/2021,BSDE,990,1000,970,980,6870400
7/7/2021,BSIM,540,555,525,550,214800
7/7/2021,BSSR,1690,1690,1665,1675,18900
7/7/2021,BSWD,1750,1750,1750,1750,0
7/7/2021,BTEK,50,50,50,50,0
7/7/2021,BTEL,50,50,50,50,0
7/7/2021,BTON,438,438,438,438,500
7/7/2021,BTPN,2810,2900,2800,2870,69300
7/7/2021,BTPS,2780,2780,2720,2760,3317100
7/7/2021,BUDI,165,167,164,165,2357300
7/7/2021,BUKK,1035,1035,1030,1030,1200
7/7/2021,BULL,284,286,276,278,403651104
7/7/2021,BULL-W2,75,75,60,62,311600
7/7/2021,BUMI,61,61,59,59,166210800
7/7/2021,BUVA,61,66,59,60,6847500
7/7/2021,BVIC,153,162,151,156,25269100
7/7/2021,BWPT,89,89,86,86,29095900
7/7/2021,BYAN,13950,13950,13525,13800,114400
7/7/2021,CAKK,68,73,66,68,10922500
7/7/2021,CAMP,258,260,254,256,1175800
7/7/2021,CANI,119,119,111,114,904800
7/7/2021,CARE,362,376,360,362,266360400
7/7/2021,CARS,50,50,50,50,2400
7/7/2021,CASA,396,400,396,400,4000
7/7/2021,CASA-W,224,224,224,224,0
7/7/2021,CASH,218,236,218,234,28760800
7/7/2021,CASS,354,358,354,356,466700
7/7/2021,CBMF,61,65,57,58,28230100
7/7/2021,CCSI,498,590,498,510,3072300
7/7/2021,CEKA,1775,1795,1775,1795,49400
7/7/2021,CENT,272,296,270,274,425772704
7/7/2021,CFIN,298,300,288,290,3725300
7/7/2021,CINT,186,191,185,188,14900
7/7/2021,CITA,2990,3100,2990,3100,2200
7/7/2021,CITY,149,150,140,148,90900
7/7/2021,CITY-W,48,48,48,48,100
7/7/2021,CLAY,840,840,835,835,1200
7/7/2021,CLEO,474,476,470,474,7317200
7/7/2021,CLPI,940,1085,940,1010,975800
7/7/2021,CMNP,1715,1715,1700,1700,100500
7/7/2021,CMPP,184,184,184,184,0
7/7/2021,CNKO,50,50,50,50,0
7/7/2021,CNTB,250,250,250,250,0
7/7/2021,CNTX,189,189,189,189,2300
7/7/2021,COCO,298,310,298,302,128200
7/7/2021,COCO-W,298,298,298,298,200
7/7/2021,COWL,50,50,50,50,0
7/7/2021,CPIN,6675,6700,6450,6700,3734800
7/7/2021,CPRI,50,50,50,50,0
7/7/2021,CPRI-W,14,16,14,16,27400
7/7/2021,CPRO,50,50,50,50,300
7/7/2021,CSAP,398,408,398,400,28900
7/7/2021,CSIS,70,73,70,73,898000
7/7/2021,CSMI,2870,2870,2800,2870,1400
7/7/2021,CSRA,292,292,288,290,284600
7/7/2021,CTBN,3450,3450,3450,3450,0
7/7/2021,CTRA,970,1000,955,970,29620000
7/7/2021,CTTH,51,51,50,51,2373500
7/7/2021,DADA,50,50,50,50,292900
7/7/2021,DART,214,214,210,210,700
