<date>,<ticker>,<open>,<high>,<low>,<close>,<volume>
11/06/2020,AALI,10900.00,11025.00,10725.00,10900.00,4071800
11/06/2020,ABBA,50.00,50.00,50.00,50.00,1489200
11/06/2020,ABDA,6450.00,6450.00,6450.00,6450.00,0
11/06/2020,ABMM,830.00,830.00,795.00,805.00,16500
11/06/2020,ACES,1630.00,1630.00,1610.00,1625.00,8896500
11/06/2020,ACST,193.00,195.00,192.00,193.00,22824200
11/06/2020,ADES,1165.00,1185.00,1160.00,1180.00,29800
11/06/2020,ADHI,590.00,600.00,585.00,600.00,14587200
11/06/2020,ADMF,7750.00,7850.00,7725.00,7800.00,84600
11/06/2020,ADMG,145.00,149.00,142.00,144.00,475100
11/06/2020,ADRO,1150.00,1155.00,1130.00,1140.00,57817100
11/06/2020,AGAR,500.00,500.00,500.00,500.00,0
11/06/2020,AGII,765.00,770.00,750.00,750.00,367100
11/06/2020,AGRO,376.00,384.00,372.00,372.00,47582100
11/06/2020,AGRS,153.00,172.00,153.00,164.00,14500
11/06/2020,AHAP,56.00,59.00,56.00,57.00,47900
11/06/2020,AIMS,117.00,164.00,117.00,118.00,12900
11/06/2020,AISA,222.00,224.00,218.00,220.00,18864600
11/06/2020,AKKU,50.00,50.00,50.00,50.00,2100
11/06/2020,AKPI,288.00,288.00,288.00,288.00,0
11/06/2020,AKRA,2630.00,2720.00,2610.00,2720.00,19748000
11/06/2020,AKSI,396.00,396.00,380.00,380.00,500
11/06/2020,ALDO,422.00,422.00,418.00,418.00,155200
11/06/2020,ALKA,234.00,248.00,220.00,248.00,2600
11/06/2020,ALMI,222.00,240.00,214.00,238.00,2900
11/06/2020,ALTO,270.00,288.00,270.00,288.00,6700
11/06/2020,AMAG,198.00,202.00,198.00,202.00,76100
11/06/2020,AMAN,264.00,264.00,260.00,260.00,287800
11/06/2020,AMAR,300.00,300.00,298.00,300.00,29500
11/06/2020,AMFG,2550.00,2550.00,2540.00,2540.00,2600
11/06/2020,AMIN,284.00,318.00,284.00,298.00,1500
11/06/2020,AMOR,2310.00,2340.00,2310.00,2330.00,261700
11/06/2020,AMRT,725.00,725.00,710.00,715.00,667800
11/06/2020,ANDI,50.00,50.00,50.00,50.00,52200
11/06/2020,ANJT,570.00,570.00,535.00,555.00,2100
11/06/2020,ANTM,1140.00,1140.00,1115.00,1125.00,202159600
11/06/2020,APEX,151.00,151.00,151.00,151.00,100
11/06/2020,APIC,890.00,925.00,890.00,920.00,11623200
11/06/2020,APII,147.00,150.00,147.00,150.00,5200
11/06/2020,APLI,114.00,125.00,114.00,121.00,42600
11/06/2020,APLN,109.00,114.00,109.00,113.00,57313100
11/06/2020,ARGO,1450.00,1450.00,1450.00,1450.00,100
11/06/2020,ARII,426.00,446.00,426.00,446.00,16700
11/06/2020,ARKA,73.00,76.00,72.00,74.00,5340400
11/06/2020,ARMY,50.00,50.00,50.00,50.00,0
11/06/2020,ARNA,500.00,520.00,496.00,515.00,8641900
11/06/2020,ARTA,274.00,274.00,274.00,274.00,100
11/06/2020,ARTI,50.00,50.00,50.00,50.00,500
11/06/2020,ARTO,2910.00,2920.00,2850.00,2920.00,116100
11/06/2020,ASBI,310.00,310.00,310.00,310.00,100
11/06/2020,ASDM,900.00,900.00,900.00,900.00,200
11/06/2020,ASGR,675.00,675.00,665.00,670.00,736300
11/06/2020,ASII,5525.00,5875.00,5525.00,5825.00,62036900
11/06/2020,ASJT,122.00,122.00,111.00,118.00,2900
11/06/2020,ASMI,1075.00,1080.00,1065.00,1080.00,10000
11/06/2020,ASPI,93.00,95.00,92.00,94.00,698000
11/06/2020,ASPI-W,11.00,13.00,11.00,13.00,69400
11/06/2020,ASRI,151.00,157.00,151.00,154.00,217040000
11/06/2020,ASRM,1730.00,1730.00,1730.00,1730.00,400
11/06/2020,ASSA,498.00,510.00,496.00,505.00,7135900
11/06/2020,ATIC,635.00,635.00,635.00,635.00,16000
11/06/2020,AUTO,880.00,880.00,870.00,880.00,1015300
11/06/2020,AYLS,50.00,51.00,50.00,50.00,3889900
11/06/2020,AYLS-W,4.00,5.00,4.00,4.00,4221500
11/06/2020,BABP,52.00,52.00,50.00,50.00,51477900
11/06/2020,BABP-W3,18.00,18.00,18.00,18.00,0
11/06/2020,BABP-W4,8.00,9.00,6.00,8.00,15920400
11/06/2020,BACA,398.00,398.00,396.00,396.00,23700
11/06/2020,BACA-W2,100.00,100.00,100.00,100.00,0
11/06/2020,BAJA,102.00,105.00,99.00,100.00,4265000
11/06/2020,BALI,985.00,1025.00,925.00,1000.00,128100
11/06/2020,BAPA,50.00,50.00,50.00,50.00,1000
11/06/2020,BAPI,50.00,50.00,50.00,50.00,102200
11/06/2020,BAPI-W,2.00,3.00,1.00,2.00,6136900
11/06/2020,BATA,620.00,635.00,620.00,620.00,9900
11/06/2020,BAYU,1160.00,1160.00,1160.00,1160.00,0
11/06/2020,BBCA,30800.00,31500.00,30300.00,31500.00,27460700
11/06/2020,BBHI,310.00,344.00,298.00,298.00,10890800
11/06/2020,BBKP,246.00,248.00,242.00,244.00,104588500
11/06/2020,BBLD,360.00,362.00,360.00,362.00,300000
