<date>,<ticker>,<open>,<high>,<low>,<close>,<volume>
6/8/2021,IHSG,6071.25,6075.886,5992.118,5999.369,278133637
6/8/2021,AALI,9125,9175,8800,8875,2981000
6/8/2021,ABBA,232,234,226,228,23598800
6/8/2021,ABDA,7050,7050,7050,7050,0
6/8/2021,ABMM,840,870,785,795,530600
6/8/2021,ACES,1485,1490,1435,1445,11478000
6/8/2021,ACST,252,254,242,246,9271500
6/8/2021,ADES,1945,1990,1910,1960,27300
6/8/2021,ADHI,1015,1025,980,980,8576200
6/8/2021,ADMF,8100,8125,8050,8075,57800
6/8/2021,ADMG,158,161,157,160,1098400
6/8/2021,ADRO,1220,1235,1205,1210,46908800
6/8/2021,AGAR,410,410,410,410,700
6/8/2021,AGII,1050,1060,1030,1035,2825900
6/8/2021,AGRO,965,980,915,965,64577800
6/8/2021,AGRS,550,570,515,535,2261900
6/8/2021,AHAP,65,66,64,65,1009800
6/8/2021,AIMS,434,434,404,424,36200
6/8/2021,AISA,240,244,236,238,14337400
6/8/2021,AKKU,50,50,50,50,1400
6/8/2021,AKPI,560,580,545,575,38700
6/8/2021,AKRA,3310,3310,3180,3240,4191200
6/8/2021,AKSI,565,565,530,530,15300
6/8/2021,ALDO,1040,1065,1000,1005,20765100
6/8/2021,ALKA,254,266,250,264,407500
6/8/2021,ALMI,242,244,242,244,1500
6/8/2021,ALTO,384,384,384,384,5000
6/8/2021,AMAG,348,352,326,348,600900
6/8/2021,AMAN,286,286,284,284,95200
6/8/2021,AMAR,274,274,266,268,2141000
6/8/2021,AMFG,3950,4090,3950,4000,1400
6/8/2021,AMIN,188,192,188,191,12900
6/8/2021,AMOR,3960,3960,3810,3810,1527100
6/8/2021,AMRT,920,975,920,970,167442200
6/8/2021,ANDI,50,50,50,50,80000
6/8/2021,ANJT,695,695,685,695,15600
6/8/2021,ANTM,2390,2420,2350,2350,58838700
6/8/2021,APEX,755,775,715,750,144800
6/8/2021,APIC,765,770,720,755,10595700
6/8/2021,APII,181,183,180,182,261700
6/8/2021,APLI,190,200,190,195,108900
6/8/2021,APLN,153,157,150,150,25640600
6/8/2021,ARGO,2150,2150,2000,2000,8600
6/8/2021,ARII,300,320,298,308,1241700
6/8/2021,ARKA,50,50,50,50,5000
6/8/2021,ARMY,50,50,50,50,0
6/8/2021,ARNA,730,735,725,730,1085100
6/8/2021,ARTA,330,400,330,400,293700
6/8/2021,ARTI,50,50,50,50,1200
6/8/2021,ARTO,12350,12475,11925,12050,14945900
6/8/2021,ASBI,294,294,290,292,267800
6/8/2021,ASDM,915,955,905,955,29800
6/8/2021,ASGR,765,770,750,755,140100
6/8/2021,ASII,5300,5325,5200,5275,35402300
6/8/2021,ASJT,226,226,224,224,215100
6/8/2021,ASMI,630,650,630,650,13700
6/8/2021,ASPI,53,54,52,52,3792100
6/8/2021,ASPI-W,16,16,15,15,3844800
6/8/2021,ASRI,188,188,183,184,19038700
6/8/2021,ASRM,1610,1615,1610,1615,7700
6/8/2021,ASSA,2190,2300,2180,2280,28891500
6/8/2021,ATAP,110,121,110,119,2776000
6/8/2021,ATIC,710,740,700,735,34300
6/8/2021,AUTO,1160,1160,1135,1140,1391100
6/8/2021,AYLS,99,102,94,96,14685200
6/8/2021,BABP,380,450,342,368,1807935700
6/8/2021,BABP-W3,300,350,300,300,204500
6/8/2021,BABP-W4,350,378,252,300,16339500
6/8/2021,BACA,402,402,390,392,15960900
6/8/2021,BACA-W2,272,272,272,272,100
6/8/2021,BAJA,408,418,394,398,7825100
6/8/2021,BALI,630,640,620,635,243700
6/8/2021,BANK,3170,3200,2960,2960,53136400
6/8/2021,BANK-W,2700,2850,2160,2500,15900
6/8/2021,BAPA,50,50,50,50,800
6/8/2021,BAPI,50,50,50,50,400
6/8/2021,BAPI-W,6,7,5,6,18349800
6/8/2021,BATA,685,685,685,685,0
6/8/2021,BAYU,1100,1100,1100,1100,0
6/8/2021,BBCA,32875,32875,32150,32150,12869600
6/8/2021,BBHI,1360,1555,1360,1435,14663700
6/8/2021,BBKP,464,474,450,450,124923500
6/8/2021,BBLD,472,472,472,472,7500
6/8/2021,BBMD,1385,1450,1385,1400,92600
6/8/2021,BBNI,5550,5575,5475,5525,19537100
6/8/2021,BBRI,4280,4280,4190,4200,98987900
6/8/2021,BBRM,50,50,50,50,400
6/8/2021,BBSI,2930,3000,2900,2970,62200
6/8/2021,BBSS,52,52,50,51,8222000
6/8/2021,BBTN,1605,1620,1595,1600,16726300
