<date>,<ticker>,<open>,<high>,<low>,<close>,<volume>
09/24/2020,AALI,10050.00,10175.00,9750.00,9750.00,2576000
09/24/2020,ABBA,50.00,50.00,50.00,50.00,3100
09/24/2020,ABDA,6600.00,6600.00,6600.00,6600.00,100
09/24/2020,ABMM,865.00,865.00,860.00,860.00,250700
09/24/2020,ACES,1525.00,1535.00,1440.00,1440.00,11201800
09/24/2020,ACST,195.00,196.00,184.00,184.00,99232900
09/24/2020,ADES,1120.00,1120.00,1100.00,1115.00,28700
09/24/2020,ADHI,498.00,498.00,488.00,490.00,8988000
09/24/2020,ADMF,7300.00,7300.00,7075.00,7100.00,55000
09/24/2020,ADMG,117.00,117.00,110.00,117.00,3777000
09/24/2020,ADRO,1145.00,1160.00,1130.00,1130.00,39759400
09/24/2020,AGAR,505.00,505.00,490.00,500.00,6200
09/24/2020,AGII,468.00,472.00,462.00,468.00,360100
09/24/2020,AGRO,296.00,302.00,286.00,288.00,29216000
09/24/2020,AGRS,175.00,179.00,175.00,177.00,19500
09/24/2020,AHAP,54.00,55.00,52.00,52.00,473900
09/24/2020,AIMS,139.00,145.00,139.00,145.00,200
09/24/2020,AISA,222.00,224.00,212.00,214.00,41272500
09/24/2020,AKKU,50.00,50.00,50.00,50.00,200
09/24/2020,AKPI,298.00,298.00,298.00,298.00,7000
09/24/2020,AKRA,2510.00,2550.00,2450.00,2510.00,16934200
09/24/2020,AKSI,380.00,380.00,354.00,354.00,33200
09/24/2020,ALDO,394.00,394.00,372.00,372.00,1600
09/24/2020,ALKA,230.00,230.00,230.00,230.00,0
09/24/2020,ALMI,190.00,190.00,180.00,182.00,34400
09/24/2020,ALTO,292.00,310.00,290.00,292.00,14200
09/24/2020,AMAG,193.00,193.00,189.00,192.00,125300
09/24/2020,AMAN,270.00,272.00,270.00,272.00,169500
09/24/2020,AMAR,310.00,310.00,290.00,290.00,25000
09/24/2020,AMFG,2450.00,2450.00,2450.00,2450.00,0
09/24/2020,AMIN,254.00,254.00,242.00,242.00,4400
09/24/2020,AMOR,2070.00,2070.00,2040.00,2040.00,3300
09/24/2020,AMRT,670.00,675.00,660.00,660.00,171400
09/24/2020,ANDI,50.00,50.00,50.00,50.00,37900
09/24/2020,ANJT,530.00,530.00,530.00,530.00,400
09/24/2020,ANTM,750.00,750.00,705.00,720.00,69787900
09/24/2020,APEX,133.00,133.00,128.00,128.00,900
09/24/2020,APIC,830.00,835.00,805.00,805.00,33515900
09/24/2020,APII,158.00,158.00,149.00,149.00,4500
09/24/2020,APLI,103.00,103.00,102.00,102.00,2700
09/24/2020,APLN,98.00,99.00,94.00,94.00,28704000
09/24/2020,ARGO,2000.00,2000.00,2000.00,2000.00,3500
09/24/2020,ARII,432.00,436.00,432.00,436.00,33400
09/24/2020,ARKA,96.00,99.00,95.00,98.00,14411500
09/24/2020,ARMY,50.00,50.00,50.00,50.00,0
09/24/2020,ARNA,448.00,450.00,442.00,448.00,598800
09/24/2020,ARTA,310.00,310.00,310.00,310.00,100
09/24/2020,ARTI,50.00,50.00,50.00,50.00,0
09/24/2020,ARTO,2840.00,2880.00,2820.00,2820.00,93000
09/24/2020,ASBI,294.00,294.00,294.00,294.00,100
09/24/2020,ASDM,920.00,930.00,920.00,930.00,300
09/24/2020,ASGR,710.00,710.00,705.00,710.00,136000
09/24/2020,ASII,4620.00,4650.00,4560.00,4600.00,24393300
09/24/2020,ASJT,115.00,115.00,105.00,112.00,12400
09/24/2020,ASMI,1035.00,1035.00,1035.00,1035.00,2500
09/24/2020,ASPI,123.00,125.00,118.00,123.00,761300
09/24/2020,ASPI-W,13.00,15.00,13.00,13.00,17700000
09/24/2020,ASRI,116.00,117.00,112.00,113.00,118841000
09/24/2020,ASRM,1725.00,1725.00,1725.00,1725.00,0
09/24/2020,ASSA,478.00,490.00,470.00,476.00,5575200
09/24/2020,ATIC,650.00,650.00,600.00,600.00,2700
09/24/2020,AUTO,830.00,830.00,815.00,820.00,169400
09/24/2020,AYLS,50.00,50.00,50.00,50.00,8900
09/24/2020,AYLS-W,3.00,4.00,3.00,4.00,1113200
09/24/2020,BABP,50.00,50.00,50.00,50.00,1300
09/24/2020,BABP-W3,39.00,39.00,39.00,39.00,0
09/24/2020,BABP-W4,7.00,8.00,6.00,8.00,77200
09/24/2020,BACA,398.00,398.00,398.00,398.00,0
09/24/2020,BACA-W2,100.00,100.00,100.00,100.00,0
09/24/2020,BAJA,53.00,54.00,53.00,53.00,92400
09/24/2020,BALI,815.00,895.00,795.00,890.00,8700
09/24/2020,BAPA,50.00,50.00,50.00,50.00,0
09/24/2020,BAPI,50.00,50.00,50.00,50.00,300
09/24/2020,BAPI-W,2.00,3.00,2.00,3.00,4573700
09/24/2020,BATA,595.00,625.00,595.00,620.00,5400
09/24/2020,BAYU,1140.00,1140.00,1140.00,1140.00,100
09/24/2020,BBCA,27150.00,27675.00,26950.00,27225.00,17723700
09/24/2020,BBHI,146.00,146.00,139.00,139.00,2300
09/24/2020,BBKP,220.00,224.00,212.00,212.00,153500000
09/24/2020,BBLD,336.00,336.00,336.00,336.00,100
09/24/2020,BBMD,1485.00,1485.00,1485.00,1485.00,0
09/24/2020,BBNI,4360.00,4400.00,4310.00,4330.00,50774500
09/24/2020,BBRI,3030.00,3080.00,3010.00,3030.00,164151300
09/24/2020,BBRM,50.00,50.00,50.00,50.00,0
09/24/2020,BBSI,600.00,610.00,570.00,610.00,391600
09/24/2020,BBSS,137.00,137.00,133.00,135.00,9459000
09/24/2020,BBSS-W,8.00,9.00,8.00,8.00,11134000
09/24/2020,BBTN,1165.00,1170.00,1130.00,1145.00,30687400
09/24/2020,BBYB,268.00,268.00,268.00,268.00,0
09/24/2020,BCAP,121.00,121.00,118.00,119.00,184500
09/24/2020,BCIC,700.00,700.00,700.00,700.00,0
09/24/2020,BCIP,50.00,50.00,50.00,50.00,2000
09/24/2020,BDMN,2170.00,2200.00,2080.00,2110.00,2689300
09/24/2020,BEEF,150.00,154.00,144.00,144.00,2897700
09/24/2020,BEEF-W,10.00,10.00,10.00,10.00,0
09/24/2020,BEKS,50.00,50.00,50.00,50.00,20700
09/24/2020,BELL,149.00,149.00,144.00,146.00,3135100
09/24/2020,BESS,224.00,230.00,212.00,218.00,1769400
09/24/2020,BESS-W,45.00,83.00,45.00,60.00,54800
09/24/2020,BEST,176.00,179.00,168.00,173.00,238722700
09/24/2020,BFIN,354.00,358.00,342.00,344.00,4570500
09/24/2020,BGTG,50.00,50.00,50.00,50.00,600
09/24/2020,BHAT,492.00,492.00,480.00,488.00,154862500
09/24/2020,BHIT,50.00,50.00,50.00,50.00,1800
09/24/2020,BIKA,146.00,154.00,146.00,146.00,1200
09/24/2020,BIMA,50.00,50.00,50.00,50.00,100
09/24/2020,BINA,820.00,820.00,800.00,820.00,1523400
09/24/2020,BIPI,50.00,50.00,50.00,50.00,31600
09/24/2020,BIPI-W,8.00,9.00,7.00,8.00,2298900
09/24/2020,BIPP,56.00,58.00,55.00,55.00,15300
09/24/2020,BIRD,875.00,880.00,840.00,850.00,662800
09/24/2020,BISI,890.00,890.00,865.00,880.00,211100
09/24/2020,BJBR,880.00,880.00,855.00,865.00,8768000
09/24/2020,BJTM,510.00,515.00,505.00,505.00,6942800
09/24/2020,BKDP,50.00,50.00,50.00,50.00,800
09/24/2020,BKSL,50.00,50.00,50.00,50.00,1300
09/24/2020,BKSW,71.00,71.00,71.00,71.00,20700
09/24/2020,BLTA,50.00,50.00,50.00,50.00,300
09/24/2020,BLTZ,3120.00,3120.00,3120.00,3120.00,0
09/24/2020,BLUE,565.00,565.00,560.00,560.00,92400
09/24/2020,BMAS,296.00,296.00,276.00,276.00,45400
09/24/2020,BMRI,5050.00,5150.00,5000.00,5075.00,60982500
09/24/2020,BMSR,52.00,52.00,52.00,52.00,5000
09/24/2020,BMTR,214.00,216.00,202.00,210.00,92835300
09/24/2020,BNBA,324.00,332.00,324.00,332.00,129800
09/24/2020,BNBR,50.00,50.00,50.00,50.00,100
09/24/2020,BNGA,725.00,730.00,700.00,705.00,2922700
09/24/2020,BNII,200.00,204.00,198.00,199.00,1980700
09/24/2020,BNLI,1330.00,1330.00,1245.00,1245.00,351700
09/24/2020,BOGA,1375.00,1390.00,1365.00,1375.00,99874200
09/24/2020,BOLA,171.00,171.00,162.00,168.00,43000
09/24/2020,BOLT,540.00,540.00,540.00,540.00,100
09/24/2020,BOSS,78.00,92.00,78.00,92.00,25324800
09/24/2020,BPFI,1200.00,1200.00,1175.00,1175.00,52000
09/24/2020,BPII,10000.00,10000.00,10000.00,10000.00,0
09/24/2020,BPTR,84.00,84.00,80.00,80.00,300
09/24/2020,BRAM,4290.00,4290.00,4290.00,4290.00,200
09/24/2020,BRIS,740.00,740.00,710.00,725.00,153779500
09/24/2020,BRMS,58.00,58.00,55.00,55.00,178619800
09/24/2020,BRNA,900.00,965.00,895.00,960.00,10800
09/24/2020,BRPT,655.00,670.00,635.00,640.00,81813000
09/24/2020,BRPT-W,505.00,505.00,505.00,505.00,0
09/24/2020,BSDE,725.00,755.00,715.00,725.00,85627200
09/24/2020,BSIM,490.00,490.00,478.00,478.00,200
09/24/2020,BSIM-W3,11.00,12.00,11.00,12.00,500
09/24/2020,BSSR,1400.00,1400.00,1400.00,1400.00,2400
09/24/2020,BSWD,1750.00,1750.00,1750.00,1750.00,0
