<date>,<ticker>,<open>,<high>,<low>,<close>,<volume>
9/9/2021,IHSG,6024.317,6072.643,5982.766,6068.219,233407002
9/9/2021,AALI,8525,8625,8475,8575,542500
9/9/2021,ABBA,560,590,540,580,38785900
9/9/2021,ABDA,6950,6950,6950,6950,0
9/9/2021,ABMM,1320,1320,1285,1310,98200
9/9/2021,ACES,1410,1415,1390,1400,7197800
9/9/2021,ACST,254,256,242,244,22685100
9/9/2021,ADES,2950,3000,2830,2900,241100
9/9/2021,ADHI,820,850,775,815,42375000
9/9/2021,ADMF,7675,7700,7625,7650,39500
9/9/2021,ADMG,210,212,202,208,4268800
9/9/2021,ADRO,1340,1370,1330,1365,83497400
9/9/2021,AGAR,370,372,370,370,6800
9/9/2021,AGII,1250,1260,1190,1190,11000800
9/9/2021,AGRO,2170,2200,2030,2070,86393600
9/9/2021,AGRS,258,262,244,250,11535200
9/9/2021,AHAP,60,64,60,61,7215600
9/9/2021,AIMS,326,338,326,336,16100
9/9/2021,AISA,204,208,204,206,5105400
9/9/2021,AKKU,50,50,50,50,6300
9/9/2021,AKPI,600,615,580,615,34500
9/9/2021,AKRA,3650,3790,3640,3770,9422000
9/9/2021,AKSI,426,434,422,424,6600
9/9/2021,ALDO,710,710,680,690,2100500
9/9/2021,ALKA,234,234,222,226,18200
9/9/2021,ALMI,250,288,250,250,108000
9/9/2021,ALTO,318,318,318,318,100
9/9/2021,AMAG,326,330,314,324,33900
9/9/2021,AMAN,446,448,442,448,3273100
9/9/2021,AMAR,300,308,290,296,3034300
9/9/2021,AMFG,3850,3900,3850,3850,87700
9/9/2021,AMIN,192,197,184,194,34500
9/9/2021,AMOR,3560,3850,3530,3840,1299100
9/9/2021,AMRT,1350,1405,1345,1360,24722300
9/9/2021,ANDI,50,50,50,50,51000
9/9/2021,ANJT,680,685,680,685,6400
9/9/2021,ANTM,2330,2450,2290,2440,150815700
9/9/2021,APEX,550,560,540,540,18600
9/9/2021,APIC,840,840,825,840,8996200
9/9/2021,APII,177,180,177,177,53700
9/9/2021,APLI,202,202,202,202,200
9/9/2021,APLN,129,133,128,129,13066900
9/9/2021,ARCI,590,590,575,590,15741600
9/9/2021,ARGO,1655,1850,1655,1840,2000
9/9/2021,ARII,282,282,276,282,54100
9/9/2021,ARKA,50,50,50,50,57800
9/9/2021,ARMY,50,50,50,50,0
9/9/2021,ARNA,770,780,760,760,2471100
9/9/2021,ARTA,1130,1130,1120,1120,27100
9/9/2021,ARTI,50,50,50,50,102200
9/9/2021,ARTO,13975,14325,13675,14000,25857100
9/9/2021,ASBI,276,276,274,274,1600
9/9/2021,ASDM,900,900,880,885,7800
9/9/2021,ASGR,755,795,730,750,1931100
9/9/2021,ASII,5250,5450,5250,5450,49118000
9/9/2021,ASJT,138,158,137,153,26828800
9/9/2021,ASMI,175,202,175,202,14161300
9/9/2021,ASPI,52,52,50,50,2547100
9/9/2021,ASPI-W,19,19,17,18,4959900
9/9/2021,ASRI,175,180,169,172,45648400
9/9/2021,ASRM,1540,1900,1540,1650,22200
9/9/2021,ASSA,2620,2670,2470,2600,15559200
9/9/2021,ATAP,102,103,101,103,31400
9/9/2021,ATIC,735,770,730,735,327600
9/9/2021,AUTO,1025,1030,1020,1025,1899200
9/9/2021,AYLS,128,144,122,125,83580500
9/9/2021,BABP,342,358,322,334,340760000
9/9/2021,BABP-W3,284,284,238,238,216100
9/9/2021,BABP-W4,294,318,274,274,69900
9/9/2021,BACA,426,430,412,424,48627400
9/9/2021,BACA-W2,390,390,390,390,0
