<date>,<ticker>,<open>,<high>,<low>,<close>,<volume>
2/15/2022,IHSG,6746.359,6807.497,6727.359,6807.497,235611186
2/15/2022,AALI,10325,11000,10300,10900,11894300
2/15/2022,ABBA,400,500,400,500,266983400
2/15/2022,ABDA,6600,6600,6175,6600,300
2/15/2022,ABMM,1465,1485,1450,1470,2314200
2/15/2022,ACES,1215,1255,1215,1245,10447300
2/15/2022,ACST,194,196,193,194,3052300
2/15/2022,ADES,3640,3660,3530,3650,86100
2/15/2022,ADHI,895,905,890,900,4653000
2/15/2022,ADMF,7925,8025,7925,8000,166900
2/15/2022,ADMG,181,182,177,181,730300
2/15/2022,ADMR,1215,1235,1200,1210,16237700
2/15/2022,ADRO,2250,2300,2210,2290,137023900
2/15/2022,AGAR,380,460,354,370,46300
2/15/2022,AGII,1475,1500,1430,1440,5584100
2/15/2022,AGRO,1330,1330,1300,1305,15381400
2/15/2022,AGRS,160,164,153,160,38429000
2/15/2022,AHAP,67,69,67,68,823400
2/15/2022,AIMS,392,420,364,364,5038900
2/15/2022,AISA,200,200,194,195,11630800
2/15/2022,AKKU,50,50,50,50,1400
2/15/2022,AKPI,1045,1050,1005,1025,13200
2/15/2022,AKRA,695,715,690,695,55356500
2/15/2022,AKSI,590,605,565,590,11200
2/15/2022,ALDO,1245,1335,1245,1335,25767700
2/15/2022,ALDO-W,254,258,238,250,1337400
2/15/2022,ALKA,288,290,282,282,22700
2/15/2022,ALMI,290,300,290,300,57900
2/15/2022,ALTO,228,240,226,238,24600
2/15/2022,AMAG,352,366,352,356,21100
2/15/2022,AMAN,525,525,525,525,730900
2/15/2022,AMAR,384,418,382,388,74673100
2/15/2022,AMFG,4710,5075,4710,5050,698700
2/15/2022,AMIN,175,179,174,174,86700
2/15/2022,AMOR,1725,1725,1650,1670,80500
2/15/2022,AMRT,1220,1260,1210,1215,8341100
2/15/2022,ANDI,50,50,50,50,329100
2/15/2022,ANJT,1060,1085,1045,1085,220100
2/15/2022,ANTM,1890,1910,1865,1880,80643100
2/15/2022,APEX,695,700,680,685,134300
2/15/2022,APIC,1130,1175,1130,1160,19615700
2/15/2022,APII,200,204,194,200,996500
2/15/2022,APLI,192,196,192,196,4700
2/15/2022,APLN,110,118,110,115,7315500
2/15/2022,ARCI,492,505,492,498,2860400
2/15/2022,ARGO,1660,1660,1500,1610,3400
2/15/2022,ARII,248,248,242,246,50200
2/15/2022,ARKA,50,50,50,50,165200
