<date>,<ticker>,<open>,<high>,<low>,<close>,<volume>
2/18/2021,FREN,65,66,63,63,299609300
2/18/2021,FREN-W,34,36,32,34,1473800
2/18/2021,FUJI,117,120,117,120,300
2/18/2021,GAMA,50,60,50,50,581453800
2/18/2021,GDST,101,101,99,99,1997000
2/18/2021,GDYR,1400,1400,1400,1400,1000
2/18/2021,GEMA,348,348,348,348,0
2/18/2021,GEMS,2550,2550,2550,2550,0
2/18/2021,GGRM,38125,38150,38000,38000,1120200
2/18/2021,GGRP,380,380,360,360,12600
2/18/2021,GHON,1795,1795,1795,1795,600
2/18/2021,GIAA,332,334,324,326,23346900
2/18/2021,GJTL,845,880,825,855,21047000
2/18/2021,GLOB,428,428,392,392,39600
2/18/2021,GLVA,334,350,334,350,17600
2/18/2021,GMFI,118,121,116,117,6916500
2/18/2021,GMTD,16975,16975,16975,16975,0
2/18/2021,GOLD,254,262,254,262,60300
2/18/2021,GOLL,50,50,50,50,0
2/18/2021,GOOD,1530,1550,1500,1520,822400
2/18/2021,GPRA,61,65,61,62,296400
2/18/2021,GSMF,110,117,105,115,203500
2/18/2021,GTBO,75,75,75,75,0
2/18/2021,GWSA,128,134,126,131,341300
2/18/2021,GZCO,50,50,50,50,10100
2/18/2021,HADE,50,50,50,50,0
2/18/2021,HDFA,123,123,123,123,0
2/18/2021,HDIT,246,246,222,226,4566600
2/18/2021,HDTX,120,120,120,120,0
2/18/2021,HEAL,4040,4200,4030,4100,929500
2/18/2021,HELI,238,240,222,238,174200
2/18/2021,HELI-W,3,4,2,2,1894100
2/18/2021,HERO,975,1000,975,995,4700
2/18/2021,HEXA,3400,3420,3360,3410,185800
2/18/2021,HITS,468,468,468,468,300
2/18/2021,HKMU,93,98,93,95,17024400
2/18/2021,HMSP,1390,1390,1365,1365,18925500
2/18/2021,HOKI,330,330,302,302,707858900
2/18/2021,HOME,50,50,50,50,0
2/18/2021,HOMI,1445,1455,1435,1455,1277700
2/18/2021,HOTL,50,50,50,50,0
2/18/2021,HRME,50,51,50,50,11814900
2/18/2021,HRTA,224,226,216,218,4369300
2/18/2021,HRUM,7225,7350,6975,7075,7842700
2/18/2021,IATA,50,50,50,50,27600
2/18/2021,IBFN,214,218,210,218,21100
2/18/2021,IBFN-W,5,5,5,5,45100
2/18/2021,IBST,8750,8750,8750,8750,0
2/18/2021,ICBP,8900,8925,8750,8750,10242500
2/18/2021,ICON,82,82,77,77,972600
2/18/2021,IDPR,300,302,288,290,101500
2/18/2021,IFII,144,146,142,144,758000
2/18/2021,IFSH,520,580,520,580,200600
2/18/2021,IGAR,350,350,342,346,97700
2/18/2021,IIKP,50,50,50,50,0
2/18/2021,IKAI,50,50,50,50,400
2/18/2021,IKAN,72,74,70,71,6202400
2/18/2021,IKBI,228,228,218,220,100100
2/18/2021,IMAS,1245,1285,1210,1275,12277000
2/18/2021,IMJS,348,356,342,350,2291500
2/18/2021,IMPC,1465,1495,1465,1485,2162900
2/18/2021,INAF,3540,3650,3400,3400,2375700
2/18/2021,INAI,342,342,336,340,6800
2/18/2021,INCF,83,83,78,83,1491000
