<date>,<ticker>,<open>,<high>,<low>,<close>,<volume>
5/19/2022,IHSG,6793.341,6851.718,6620.684,6823.335,1288130807
5/19/2022,AALI,11950,12300,11750,12200,2233000
5/19/2022,ABBA,189,202,179,190,14695900
5/19/2022,ABDA,6250,6250,6250,6250,0
5/19/2022,ABMM,3180,3230,3120,3210,5490700
5/19/2022,ACES,1010,1020,980,1020,57325100
5/19/2022,ACST,165,166,162,163,3972700
5/19/2022,ADCP,74,74,72,73,14609100
5/19/2022,ADES,4750,4850,4700,4820,602100
5/19/2022,ADHI,680,680,670,675,3468200
5/19/2022,ADMF,8050,8150,7950,8025,165900
5/19/2022,ADMG,167,168,165,167,157600
5/19/2022,ADMR,2400,2400,2260,2300,180523800
5/19/2022,ADRO,3140,3180,3050,3110,166293000
5/19/2022,AGAR,328,358,328,334,4600
5/19/2022,AGII,1900,1955,1795,1935,8352400
5/19/2022,AGRO,920,970,895,940,11487600
5/19/2022,AGRS,116,123,114,119,24388200
5/19/2022,AHAP,61,62,61,62,909100
5/19/2022,AIMS,248,250,242,242,13300
5/19/2022,AISA,160,168,156,156,16098800
5/19/2022,AKKU,50,50,50,50,20300
5/19/2022,AKPI,930,930,915,930,18900
5/19/2022,AKRA,1020,1055,1000,1050,56516600
5/19/2022,AKSI,234,236,222,226,210900
5/19/2022,ALDO,920,935,910,925,2079800
5/19/2022,ALDO-W,200,250,200,206,40000
5/19/2022,ALKA,296,302,288,302,45200
5/19/2022,ALMI,272,300,266,266,7200
5/19/2022,ALTO,198,210,186,208,160200
5/19/2022,AMAG,378,388,378,382,54300
5/19/2022,AMAN,520,525,520,525,218000
5/19/2022,AMAR,328,340,316,324,34460300
5/19/2022,AMFG,6950,7125,6800,6900,214400
5/19/2022,AMIN,139,143,135,135,34800
5/19/2022,AMOR,1540,1600,1540,1595,600
5/19/2022,AMRT,1675,1745,1610,1700,91809200
5/19/2022,ANDI,50,50,50,50,3800
5/19/2022,ANJT,980,1005,980,990,1259300
5/19/2022,ANTM,2380,2490,2340,2460,122968600
5/19/2022,APEX,426,428,400,424,65600
5/19/2022,APIC,1120,1140,1115,1115,13433500
5/19/2022,APII,194,208,192,192,3238900
5/19/2022,APLI,187,197,187,197,500
5/19/2022,APLN,111,111,108,108,4071100
5/19/2022,ARCI,396,396,386,390,1258900
5/19/2022,ARGO,1295,1410,1275,1365,1600
5/19/2022,ARII,214,234,214,234,25100
5/19/2022,ARKA,50,50,50,50,9300
5/19/2022,ARMY,50,50,50,50,0
5/19/2022,ARNA,1025,1025,995,1025,1349300
5/19/2022,ARTA,1820,1820,1790,1790,4600
5/19/2022,ARTI,50,50,50,50,0
5/19/2022,ARTO,7050,8475,6600,8475,128794800
5/19/2022,ASBI,294,294,292,292,500
5/19/2022,ASDM,1010,1010,990,990,4900
5/19/2022,ASGR,890,905,875,900,305500
5/19/2022,ASII,6925,7125,6850,7000,27558300
5/19/2022,ASJT,124,127,124,126,115000
5/19/2022,ASLC,204,204,190,196,60362500
5/19/2022,ASMI,146,146,142,145,28700
5/19/2022,ASPI,72,75,71,72,29400
5/19/2022,ASPI-W,13,13,12,13,3843700
5/19/2022,ASRI,152,153,149,150,13243700
5/19/2022,ASRM,1570,1570,1550,1570,3100
5/19/2022,ASSA,1980,2200,1860,2130,30319900
5/19/2022,ATAP,104,104,101,102,334900
5/19/2022,ATIC,406,410,398,400,52900
5/19/2022,AUTO,1115,1115,1090,1095,1854900
5/19/2022,AVIA,745,750,720,745,32108800
5/19/2022,AYLS,264,276,260,268,4377200
5/19/2022,BABP,140,143,135,142,43021500
5/19/2022,BABP-W3,108,108,101,101,400
5/19/2022,BABP-W4,121,135,119,119,5600
5/19/2022,BACA,163,163,156,158,9758100
5/19/2022,BACA-W2,140,140,81,81,900
5/19/2022,BAJA,206,206,192,193,5728600
5/19/2022,BALI,765,780,755,755,161000
5/19/2022,BANK,1680,1960,1680,1895,44448700
5/19/2022,BANK-W,1870,1870,1870,1870,100
5/19/2022,BAPA,90,96,90,91,9613300
5/19/2022,BAPI,50,50,50,50,2300
5/19/2022,BAPI-W,6,6,5,6,1535700
5/19/2022,BATA,474,480,474,480,400
5/19/2022,BAUT,51,51,50,50,17906500
5/19/2022,BAUT-W,11,11,10,11,3491100
5/19/2022,BAYU,1135,1165,1070,1100,44700
5/19/2022,BBCA,7400,7475,7375,7450,140908900
5/19/2022,BBHI,4880,5200,4630,5025,14731400
5/19/2022,BBKP,232,232,204,212,80517700
5/19/2022,BBLD,400,400,400,400,32000
5/19/2022,BBMD,2000,2070,2000,2020,300
5/19/2022,BBNI,8550,8800,8450,8675,32429600
5/19/2022,BBRI,4350,4460,4300,4440,132614900
5/19/2022,BBRM,50,50,50,50,1800
5/19/2022,BBSI,5000,5050,4890,5000,11800
5/19/2022,BBSS,50,50,50,50,41500
5/19/2022,BBTN,1645,1680,1635,1665,37742000
5/19/2022,BBYB,1250,1425,1190,1355,153608200
5/19/2022,BCAP,198,204,193,199,57322100
5/19/2022,BCIC,196,198,183,183,18233400
5/19/2022,BCIP,57,57,55,56,1214700
5/19/2022,BDMN,2370,2370,2340,2340,2704500
5/19/2022,BEBS,5550,5550,5100,5100,74172200
5/19/2022,BEEF,50,50,50,50,748100
5/19/2022,BEKS,50,50,50,50,569600
5/19/2022,BELL,378,378,378,378,0
5/19/2022,BESS,570,600,550,585,69700
5/19/2022,BESS-W,368,440,366,440,400
5/19/2022,BEST,108,108,107,107,7561600
5/19/2022,BFIN,1100,1130,1080,1110,33258300
5/19/2022,BGTG,147,152,141,145,29424300
5/19/2022,BHAT,1010,1015,1005,1010,1121600
5/19/2022,BHIT,53,54,53,54,62014400
5/19/2022,BIKA,216,216,200,206,398400
5/19/2022,BIKE,210,224,200,218,10743700
5/19/2022,BIKE-W,18,19,16,18,9319500
5/19/2022,BIMA,264,272,258,264,5077600
5/19/2022,BINA,3740,3850,3700,3780,421000
5/19/2022,BINO,133,133,129,132,3532800
5/19/2022,BINO-W,21,22,21,22,2481900
5/19/2022,BIPI,85,85,81,82,893988200
5/19/2022,BIPI-W,9,10,8,10,19276100
5/19/2022,BIPP,50,51,50,50,605100
5/19/2022,BIRD,1240,1240,1170,1170,3899500
5/19/2022,BISI,1580,1630,1535,1560,2923000
5/19/2022,BJBR,1455,1455,1435,1455,3458200
5/19/2022,BJTM,765,765,750,760,8570400
5/19/2022,BKDP,77,80,77,79,965500
5/19/2022,BKSL,50,51,50,50,39635200
5/19/2022,BKSW,131,139,126,132,4703900
5/19/2022,BLTA,50,50,50,50,6200
5/19/2022,BLTZ,2740,2740,2740,2740,100
5/19/2022,BLUE,272,272,270,270,417100
5/19/2022,BMAS,1360,1410,1350,1405,88600
5/19/2022,BMHS,590,590,560,590,18875800
5/19/2022,BMRI,7800,7925,7750,7900,63870200
5/19/2022,BMSR,300,300,278,278,1249600
5/19/2022,BMTR,250,254,250,250,29942300
5/19/2022,BNBA,1780,1860,1735,1800,2176500
5/19/2022,BNBR,50,50,50,50,61100
5/19/2022,BNGA,1010,1015,1000,1015,6194800
5/19/2022,BNII,274,274,266,270,817400
5/19/2022,BNLI,1205,1235,1130,1235,273300
5/19/2022,BOBA,193,194,185,193,47300
5/19/2022,BOGA,1360,1370,1355,1365,140320400
