<date>,<ticker>,<open>,<high>,<low>,<close>,<volume>
2/21/2022,IHSG,6896.752,6927.909,6886.133,6902.965,262474050
2/21/2022,AALI,11100,11500,11100,11250,3181800
2/21/2022,ABBA,346,372,330,354,46564500
2/21/2022,ABDA,6600,6600,6600,6600,100
2/21/2022,ABMM,1495,1550,1495,1525,2695900
2/21/2022,ACES,1245,1245,1205,1205,33571000
2/21/2022,ACST,198,204,198,200,4772400
2/21/2022,ADES,3940,3970,3750,3880,145300
2/21/2022,ADHI,940,950,925,930,22608500
2/21/2022,ADMF,7925,8050,7925,7950,243400
2/21/2022,ADMG,186,187,183,183,1406800
2/21/2022,ADMR,1200,1215,1130,1145,62594200
2/21/2022,ADRO,2260,2260,2200,2220,86719000
2/21/2022,AGAR,358,398,350,376,96100
2/21/2022,AGII,1440,1460,1430,1435,3956600
2/21/2022,AGRO,1510,1540,1510,1520,43176600
2/21/2022,AGRS,167,169,163,165,13664100
2/21/2022,AHAP,67,68,67,68,493500
2/21/2022,AIMS,348,354,342,348,62100
2/21/2022,AISA,195,198,193,195,8537500
2/21/2022,AKKU,50,50,50,50,1700200
2/21/2022,AKPI,1015,1045,1015,1045,28000
2/21/2022,AKRA,740,750,735,745,32153600
2/21/2022,AKSI,590,590,570,580,16600
2/21/2022,ALDO,1240,1245,1155,1155,14878100
2/21/2022,ALDO-W,282,290,260,260,309600
2/21/2022,ALKA,290,290,288,288,20000
2/21/2022,ALMI,300,310,298,310,5200
2/21/2022,ALTO,236,236,228,236,46500
2/21/2022,AMAG,366,388,366,374,67100
2/21/2022,AMAN,525,530,525,525,732800
2/21/2022,AMAR,340,368,330,360,125813300
2/21/2022,AMFG,4890,4930,4850,4930,86500
2/21/2022,AMIN,172,175,171,171,140400
2/21/2022,AMOR,1690,1700,1690,1690,28100
2/21/2022,AMRT,1200,1200,1155,1160,11149700
2/21/2022,ANDI,50,50,50,50,27800
2/21/2022,ANJT,1060,1080,1045,1060,218600
2/21/2022,ANTM,2100,2190,2100,2170,210845000
2/21/2022,APEX,685,710,680,680,84300
2/21/2022,APIC,1185,1190,1170,1180,17063600
2/21/2022,APII,199,200,195,195,310000
2/21/2022,APLI,196,199,193,199,11400
2/21/2022,APLN,121,123,120,120,7536900
2/21/2022,ARCI,498,498,484,484,1612000
2/21/2022,ARGO,1560,1660,1550,1610,10400
2/21/2022,ARII,248,248,242,244,61100
2/21/2022,ARKA,50,50,50,50,531300
2/21/2022,ARMY,50,50,50,50,0
