<date>,<ticker>,<open>,<high>,<low>,<close>,<volume>
1/21/2022,IHSG,6626.348,6726.373,6607.418,6726.373,178311195
1/21/2022,AALI,9850,9975,9800,9925,878800
1/21/2022,ABBA,282,306,282,290,8465200
1/21/2022,ABDA,7500,7500,6925,7000,400
1/21/2022,ABMM,1380,1385,1355,1380,942700
1/21/2022,ACES,1290,1300,1270,1275,13380600
1/21/2022,ACST,182,202,182,194,13600200
1/21/2022,ADES,3410,3590,3400,3400,117800
1/21/2022,ADHI,835,850,815,840,10370200
1/21/2022,ADMF,7575,7700,7575,7625,96900
1/21/2022,ADMG,194,196,186,188,1893300
1/21/2022,ADMR,965,1000,950,985,115085500
1/21/2022,ADRO,2310,2310,2260,2310,98844900
1/21/2022,AGAR,356,374,346,364,10000
1/21/2022,AGII,1430,1450,1365,1390,7960900
1/21/2022,AGRO,1330,1365,1275,1325,66288300
1/21/2022,AGRS,165,169,160,163,40195200
1/21/2022,AHAP,70,72,69,70,7477100
1/21/2022,AIMS,376,376,362,362,9100
1/21/2022,AISA,176,181,175,175,5816000
1/21/2022,AKKU,50,50,50,50,1600
1/21/2022,AKPI,1090,1125,1050,1100,42500
1/21/2022,AKRA,760,800,760,800,39832800
1/21/2022,AKSI,790,915,750,755,285900
1/21/2022,ALDO,1465,1490,1365,1375,12292300
1/21/2022,ALDO-W,320,322,300,300,119900
1/21/2022,ALKA,322,322,300,314,93600
1/21/2022,ALMI,290,290,288,288,600
1/21/2022,ALTO,264,264,246,258,102200
1/21/2022,AMAG,354,356,340,340,64800
1/21/2022,AMAN,530,530,525,530,903800
1/21/2022,AMAR,700,730,665,665,124456800
1/21/2022,AMFG,4370,4420,4350,4350,12000
1/21/2022,AMIN,175,185,167,173,181900
1/21/2022,AMOR,1825,1825,1805,1805,340600
1/21/2022,AMRT,1095,1110,1085,1095,7060900
1/21/2022,ANDI,50,50,50,50,70600
1/21/2022,ANJT,970,980,970,980,29200
1/21/2022,ANTM,1935,1965,1890,1945,169331400
1/21/2022,APEX,580,595,545,570,118100
1/21/2022,APIC,1060,1070,1055,1060,13768900
1/21/2022,APII,208,214,202,206,3617400
1/21/2022,APLI,199,199,199,199,0
1/21/2022,APLN,115,116,113,114,6377600
1/21/2022,ARCI,484,484,474,482,1901700
1/21/2022,ARGO,1550,1550,1550,1550,0
1/21/2022,ARII,250,250,242,246,67700
1/21/2022,ARKA,50,50,50,50,1398000
1/21/2022,ARMY,50,50,50,50,0
1/21/2022,ARNA,875,875,860,875,120900
1/21/2022,ARTA,1990,2020,1930,2000,34500
1/21/2022,ARTI,50,50,50,50,0
1/21/2022,ARTO,18600,19175,18200,19000,56571300
1/21/2022,ASBI,294,296,292,292,5900
1/21/2022,ASDM,990,1000,970,975,9800
1/21/2022,ASGR,810,815,785,800,707800
1/21/2022,ASII,5525,5625,5500,5600,40709600
1/21/2022,ASJT,139,139,134,134,311300
1/21/2022,ASMI,250,250,242,246,40100
1/21/2022,ASPI,74,76,72,73,3449400
1/21/2022,ASPI-W,17,18,17,18,218400
1/21/2022,ASRI,143,149,143,149,12321100
1/21/2022,ASRM,1620,1650,1620,1650,200
1/21/2022,ASSA,3240,3320,3180,3260,6796900
1/21/2022,ATAP,175,181,173,180,22323900
1/21/2022,ATIC,625,625,610,615,149800
1/21/2022,AUTO,1090,1095,1080,1095,1338400
1/21/2022,AVIA,905,905,880,890,40305700
1/21/2022,AYLS,330,340,326,330,30367000
1/21/2022,BABP,159,164,158,158,37875200
1/21/2022,BABP-W3,84,84,76,81,168800
1/21/2022,BABP-W4,139,139,109,112,172400
1/21/2022,BACA,224,226,220,224,12911600
1/21/2022,BACA-W2,28,28,28,28,0
1/21/2022,BAJA,314,324,294,304,1218700
1/21/2022,BALI,825,835,810,835,358500
1/21/2022,BANK,2240,2340,2240,2310,31031700
1/21/2022,BANK-W,2150,2150,2150,2150,2000
1/21/2022,BAPA,101,105,94,96,58935000
1/21/2022,BAPI,50,50,50,50,4300
1/21/2022,BAPI-W,8,8,7,7,9271700
1/21/2022,BATA,468,478,450,466,10100
1/21/2022,BAYU,1055,1170,1030,1125,2000
1/21/2022,BBCA,7775,7950,7700,7950,63370500
1/21/2022,BBHI,5550,6125,5525,6100,21799200
1/21/2022,BBKP,260,262,256,258,48100400
1/21/2022,BBLD,374,374,374,374,100
1/21/2022,BBMD,1940,1940,1940,1940,500
1/21/2022,BBNI,7125,7175,7050,7175,10840700
1/21/2022,BBRI,4130,4170,4110,4170,84972500
1/21/2022,BBRM,50,50,50,50,300
1/21/2022,BBSI,5475,5500,5100,5400,34600
1/21/2022,BBSS,51,51,50,51,11505100
1/21/2022,BBTN,1680,1690,1660,1670,18748800
1/21/2022,BBYB,2090,2130,2060,2110,47046500
1/21/2022,BCAP,51,54,51,54,137056600
1/21/2022,BCIC,172,174,169,170,1879500
1/21/2022,BCIP,89,91,88,89,19844100
1/21/2022,BDMN,2340,2350,2320,2330,869800
1/21/2022,BEBS,4420,5000,4410,4600,41673100
1/21/2022,BEEF,72,78,71,72,27315100
1/21/2022,BEKS,51,51,50,51,24654400
1/21/2022,BELL,137,143,128,128,746600
1/21/2022,BESS,760,790,755,760,99600
1/21/2022,BESS-W,635,700,412,565,18800
1/21/2022,BEST,109,112,109,110,3191000
1/21/2022,BFIN,1240,1275,1210,1260,51508000
1/21/2022,BGTG,244,252,242,246,112338200
1/21/2022,BHAT,1000,1005,1000,1000,1230000
1/21/2022,BHIT,54,55,54,54,55074900
1/21/2022,BIKA,230,240,230,232,210200
1/21/2022,BIMA,314,322,296,298,8751200
1/21/2022,BINA,3780,3850,3750,3760,258800
